,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
1214,Vulfpeck,1612,59,"['ann arbor indie', 'funk rock', 'instrumental funk']",bassbassbassbassbass,0.678,0.392,0,-11.328,1,0.274,0.177,0.0045,0.0839,0.706,171.274,39rHfrVqCX6A55GF7uOZSC,spotify:track:39rHfrVqCX6A55GF7uOZSC,https://api.spotify.com/v1/tracks/39rHfrVqCX6A55GF7uOZSC,https://api.spotify.com/v1/audio-analysis/39rHfrVqCX6A55GF7uOZSC,199640,4
1215,of Montreal,Wraith Pinned to the Mist and Other Games,52,"['alternative dance', 'alternative rock', 'anti-folk', 'art pop', 'baroque pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi', 'new rave']",may '22,0.868,0.595,5,-9.904,1,0.0478,0.03,0.103,0.154,0.744,121.998,0Ensfv1iBDcsOF6xNok14N,spotify:track:0Ensfv1iBDcsOF6xNok14N,https://api.spotify.com/v1/tracks/0Ensfv1iBDcsOF6xNok14N,https://api.spotify.com/v1/audio-analysis/0Ensfv1iBDcsOF6xNok14N,255613,4
1216,It Looks Sad.,Ocean,34,"['alternative emo', 'charlotte nc indie', 'dreamo', 'emo', 'indie garage rock', 'midwest emo', 'north carolina emo']","𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.555,0.723,9,-6.485,1,0.042,0.002,0.00378,0.0589,0.348,122.003,2ovemdLtOeYTJw1zF26qpJ,spotify:track:2ovemdLtOeYTJw1zF26qpJ,https://api.spotify.com/v1/tracks/2ovemdLtOeYTJw1zF26qpJ,https://api.spotify.com/v1/audio-analysis/2ovemdLtOeYTJw1zF26qpJ,228000,4
1217,David Bowie,Moss Garden - 2017 Remaster,37,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.163,0.195,1,-18.134,1,0.0359,0.386,0.891,0.158,0.18,77.685,2hBsekQsE7bxL4lNGpG1tL,spotify:track:2hBsekQsE7bxL4lNGpG1tL,https://api.spotify.com/v1/tracks/2hBsekQsE7bxL4lNGpG1tL,https://api.spotify.com/v1/audio-analysis/2hBsekQsE7bxL4lNGpG1tL,305867,4
1218,Echo & the Bunnymen,Nothing Lasts Forever,48,"['alternative rock', 'art rock', 'dream pop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'punk', 'rock']",london calling,0.433,0.654,0,-5.345,1,0.0273,0.028,1.21e-05,0.176,0.4,83.85,4zlRCThoy7Wops9GF11kQX,spotify:track:4zlRCThoy7Wops9GF11kQX,https://api.spotify.com/v1/tracks/4zlRCThoy7Wops9GF11kQX,https://api.spotify.com/v1/audio-analysis/4zlRCThoy7Wops9GF11kQX,235120,4
1219,The Grinns,Golden Hour,31,"['indie garage rock', 'socal indie']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.59,0.631,9,-10.582,1,0.031,0.464,0.0,0.0901,0.928,113.567,1SG7YOeSQM4z3PFWLy3bth,spotify:track:1SG7YOeSQM4z3PFWLy3bth,https://api.spotify.com/v1/tracks/1SG7YOeSQM4z3PFWLy3bth,https://api.spotify.com/v1/audio-analysis/1SG7YOeSQM4z3PFWLy3bth,186857,4
1220,Controller.Controller,History,8,['toronto indie'],D҉E҉S҉P҉A҉I҉R҉,0.431,0.633,4,-8.424,0,0.0393,9.62e-05,0.89,0.284,0.588,128.089,7Jx4qQiZBE5V4sKmZGWnif,spotify:track:7Jx4qQiZBE5V4sKmZGWnif,https://api.spotify.com/v1/tracks/7Jx4qQiZBE5V4sKmZGWnif,https://api.spotify.com/v1/audio-analysis/7Jx4qQiZBE5V4sKmZGWnif,266880,4
1221,Milky Chance,Loveland,45,['german pop'],【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.338,0.452,8,-9.043,1,0.0377,0.878,1.72e-05,0.18,0.346,84.344,68dgI9DIoizt01JELF8JW9,spotify:track:68dgI9DIoizt01JELF8JW9,https://api.spotify.com/v1/tracks/68dgI9DIoizt01JELF8JW9,https://api.spotify.com/v1/audio-analysis/68dgI9DIoizt01JELF8JW9,212000,3
1222,Nerorgasmo,Passione nera,15,"['italian hardcore', 'italian punk', 'punk rock italiano']",17,0.218,0.972,11,-7.637,0,0.112,3.51e-05,1.84e-06,0.0578,0.325,166.527,07JtXS0zDSTXKuAX0IAv9Z,spotify:track:07JtXS0zDSTXKuAX0IAv9Z,https://api.spotify.com/v1/tracks/07JtXS0zDSTXKuAX0IAv9Z,https://api.spotify.com/v1/audio-analysis/07JtXS0zDSTXKuAX0IAv9Z,122880,4
1223,David Bowie,Fame - 2016 Remaster,59,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",bassbassbassbassbass,0.786,0.555,10,-10.276,1,0.0471,0.454,0.0173,0.0826,0.673,95.1,1PehfITh0TTRx3LkDdV4h3,spotify:track:1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/tracks/1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/audio-analysis/1PehfITh0TTRx3LkDdV4h3,261373,4
1224,Empire of the Sun,Walking On A Dream,50,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,286TLtk120rnrmVeQClDTc,spotify:track:286TLtk120rnrmVeQClDTc,https://api.spotify.com/v1/tracks/286TLtk120rnrmVeQClDTc,https://api.spotify.com/v1/audio-analysis/286TLtk120rnrmVeQClDTc,198440,4
1225,Blur,No Distance Left to Run,53,"['alternative rock', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'pop rock', 'rock']","𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.408,0.208,7,-14.751,1,0.0342,0.722,0.0285,0.108,0.109,148.715,0SaRvx9eYudSCQYNjuCQKX,spotify:track:0SaRvx9eYudSCQYNjuCQKX,https://api.spotify.com/v1/tracks/0SaRvx9eYudSCQYNjuCQKX,https://api.spotify.com/v1/audio-analysis/0SaRvx9eYudSCQYNjuCQKX,208267,3
1226,Megadriver,Choke Hold (Big Bear Theme)(Fatal Fury),4,['brazilian heavy metal'],u fucking nerd,0.337,0.953,2,-4.073,1,0.226,0.000211,0.894,0.0682,0.139,85.004,6lgrJXaAFWt3NvI3Oavv0k,spotify:track:6lgrJXaAFWt3NvI3Oavv0k,https://api.spotify.com/v1/tracks/6lgrJXaAFWt3NvI3Oavv0k,https://api.spotify.com/v1/audio-analysis/6lgrJXaAFWt3NvI3Oavv0k,141282,4
1227,RichaadEB,Champion Lance Battle,26,['otacore'],u fucking nerd,0.225,0.855,11,-5.659,1,0.063,1.8e-06,0.783,0.22,0.355,197.036,3l6wFkquv6nGNA6V81Crm3,spotify:track:3l6wFkquv6nGNA6V81Crm3,https://api.spotify.com/v1/tracks/3l6wFkquv6nGNA6V81Crm3,https://api.spotify.com/v1/audio-analysis/3l6wFkquv6nGNA6V81Crm3,147107,4
1228,Speranza,CASERTEXAS,26,"['drill italiana', 'italian hip hop', 'trap italiana']",𝔾𝔸𝕊,0.675,0.923,8,-4.085,0,0.412,0.285,0.0,0.476,0.453,92.287,5gh4V51qg5eWztq9CEWaFE,spotify:track:5gh4V51qg5eWztq9CEWaFE,https://api.spotify.com/v1/tracks/5gh4V51qg5eWztq9CEWaFE,https://api.spotify.com/v1/audio-analysis/5gh4V51qg5eWztq9CEWaFE,117720,4
1229,Lord Folter,Dorade Royale - Instrumental,1,"['german boom bap', 'german hip hop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.6,0.538,10,-5.212,0,0.0462,0.013,0.846,0.105,0.587,163.967,45Oefxo0A92iyMOdXAXiYY,spotify:track:45Oefxo0A92iyMOdXAXiYY,https://api.spotify.com/v1/tracks/45Oefxo0A92iyMOdXAXiYY,https://api.spotify.com/v1/audio-analysis/45Oefxo0A92iyMOdXAXiYY,149280,4
1230,Verdena,Chaise Longue,34,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.674,0.716,11,-5.853,0,0.0283,0.137,3.56e-05,0.128,0.625,118.995,2oXs1w3ISiVPkz32vXJCCg,spotify:track:2oXs1w3ISiVPkz32vXJCCg,https://api.spotify.com/v1/tracks/2oXs1w3ISiVPkz32vXJCCg,https://api.spotify.com/v1/audio-analysis/2oXs1w3ISiVPkz32vXJCCg,220187,4
1231,Bedroom,Nothing Lasts,62,['small room'],【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.507,0.666,10,-8.362,1,0.0289,0.0116,0.329,0.129,0.186,77.979,7KKoGA5nKLJ6Q4wPXFJcNt,spotify:track:7KKoGA5nKLJ6Q4wPXFJcNt,https://api.spotify.com/v1/tracks/7KKoGA5nKLJ6Q4wPXFJcNt,https://api.spotify.com/v1/audio-analysis/7KKoGA5nKLJ6Q4wPXFJcNt,291786,4
1232,Calcutta ,Cane - Live,35,"['italian indie pop', 'rome indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.26,0.809,2,-5.892,1,0.0411,0.171,1.39e-06,0.936,0.222,144.057,2Xi0MRa6albVOyq3QAKAPt,spotify:track:2Xi0MRa6albVOyq3QAKAPt,https://api.spotify.com/v1/tracks/2Xi0MRa6albVOyq3QAKAPt,https://api.spotify.com/v1/audio-analysis/2Xi0MRa6albVOyq3QAKAPt,164000,4
1233,Godspeed You! Black Emperor,motherfucker=redeemer,29,"['canadian post-rock', 'double drumming', 'indie rock', 'instrumental post-rock', 'post-rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.261,0.406,1,-14.362,1,0.0418,0.444,0.865,0.209,0.0689,142.916,4Mj2K6juDFsWteFAR1wFkk,spotify:track:4Mj2K6juDFsWteFAR1wFkk,https://api.spotify.com/v1/tracks/4Mj2K6juDFsWteFAR1wFkk,https://api.spotify.com/v1/audio-analysis/4Mj2K6juDFsWteFAR1wFkk,1282253,4
1234,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",57,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",just another boring week,0.497,0.194,5,-17.237,1,0.0364,0.828,1.88e-05,0.102,0.511,105.656,6XlcraQqLY6wGnXpoVeoko,spotify:track:6XlcraQqLY6wGnXpoVeoko,https://api.spotify.com/v1/tracks/6XlcraQqLY6wGnXpoVeoko,https://api.spotify.com/v1/audio-analysis/6XlcraQqLY6wGnXpoVeoko,133227,4
1235,Psyche,Eternal,16,"['dark synthpop', 'dark wave', 'ebm', 'electro-industrial', 'futurepop', 'neo-synthpop', 'synthpop']",january '22,0.672,0.585,1,-13.066,0,0.0264,0.0722,0.00011,0.305,0.567,115.977,4Usa4uGIjXNOs1HgmC4HmW,spotify:track:4Usa4uGIjXNOs1HgmC4HmW,https://api.spotify.com/v1/tracks/4Usa4uGIjXNOs1HgmC4HmW,https://api.spotify.com/v1/audio-analysis/4Usa4uGIjXNOs1HgmC4HmW,255200,4
1236,Jade Arcade,Doom - Main Theme,50,['undertale'],u fucking nerd,0.37,0.861,9,-9.375,1,0.0681,0.000244,0.962,0.71,0.233,109.935,6ClwyuB4lg8xtPoYMcmmUV,spotify:track:6ClwyuB4lg8xtPoYMcmmUV,https://api.spotify.com/v1/tracks/6ClwyuB4lg8xtPoYMcmmUV,https://api.spotify.com/v1/audio-analysis/6ClwyuB4lg8xtPoYMcmmUV,97000,4
1237,LSD and the Search for God,Starting Over,58,"['american shoegaze', 'dream pop', 'nu gaze', 'shoegaze']",june ‘22,0.225,0.511,4,-9.316,1,0.0339,0.506,0.918,0.108,0.117,114.255,0dcu28YT8cXZH7JTIraszp,spotify:track:0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/tracks/0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/audio-analysis/0dcu28YT8cXZH7JTIraszp,304240,4
1238,David Bowie,Ashes to Ashes - 2017 Remaster,64,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",disco sadness,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,37CRPk0L5ZpfPeePEPwE0t,spotify:track:37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/tracks/37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/audio-analysis/37CRPk0L5ZpfPeePEPwE0t,266160,4
1239,The Academic,Bear Claws,51,"['irish indie', 'modern rock']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.552,0.877,11,-1.879,0,0.0377,0.0142,0.0,0.108,0.628,97.056,2qu0mEZGymmE2LyJuz7Jrn,spotify:track:2qu0mEZGymmE2LyJuz7Jrn,https://api.spotify.com/v1/tracks/2qu0mEZGymmE2LyJuz7Jrn,https://api.spotify.com/v1/audio-analysis/2qu0mEZGymmE2LyJuz7Jrn,214118,4
1240,BAYONETTA,"Let's Dance, Boys !",46,['japanese vgm'],u fucking nerd,0.524,0.876,1,-5.46,0,0.072,0.194,0.916,0.281,0.47,133.238,3Qm1GqTk8lh8lSbhe0D0Vt,spotify:track:3Qm1GqTk8lh8lSbhe0D0Vt,https://api.spotify.com/v1/tracks/3Qm1GqTk8lh8lSbhe0D0Vt,https://api.spotify.com/v1/audio-analysis/3Qm1GqTk8lh8lSbhe0D0Vt,218560,4
1241,Bauhaus,Double Dare,44,"['alternative rock', 'dark wave', 'gothic rock', 'new wave', 'post-punk']",D҉E҉S҉P҉A҉I҉R҉,0.443,0.907,0,-11.274,1,0.0772,0.00321,0.53,0.114,0.135,96.331,3zAkC5zINEpRwn5FaeKNSn,spotify:track:3zAkC5zINEpRwn5FaeKNSn,https://api.spotify.com/v1/tracks/3zAkC5zINEpRwn5FaeKNSn,https://api.spotify.com/v1/audio-analysis/3zAkC5zINEpRwn5FaeKNSn,295000,4
1242,Pink Floyd,Set The Controls For The Heart Of The Sun - 2011 Remaster,38,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.296,0.266,9,-17.419,1,0.054,0.674,0.895,0.0782,0.312,130.416,5TBtYdgh70ZKnZbEJ3KZvR,spotify:track:5TBtYdgh70ZKnZbEJ3KZvR,https://api.spotify.com/v1/tracks/5TBtYdgh70ZKnZbEJ3KZvR,https://api.spotify.com/v1/audio-analysis/5TBtYdgh70ZKnZbEJ3KZvR,328293,4
1243,Sports,You Are the Right One,71,"['indie pop', 'neo-psychedelic', 'tulsa indie', 'vapor soul']",december '22,0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,2qpacEyFxmbxCpIEqZkqvC,spotify:track:2qpacEyFxmbxCpIEqZkqvC,https://api.spotify.com/v1/tracks/2qpacEyFxmbxCpIEqZkqvC,https://api.spotify.com/v1/audio-analysis/2qpacEyFxmbxCpIEqZkqvC,172507,4
1244,Gazebo Penguins,Wes Anderson,20,"['italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.176,0.865,4,-4.331,1,0.043,0.0105,0.00336,0.123,0.187,183.443,56evvdIIJ3wVuBbeNm3ckS,spotify:track:56evvdIIJ3wVuBbeNm3ckS,https://api.spotify.com/v1/tracks/56evvdIIJ3wVuBbeNm3ckS,https://api.spotify.com/v1/audio-analysis/56evvdIIJ3wVuBbeNm3ckS,232640,3
1245,Frah Quintale,Gravità,51,"['italian hip hop', 'italian indie pop', 'milan indie']",【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.428,0.557,4,-6.499,1,0.298,0.0639,0.0,0.156,0.297,82.331,6FWkfBaqMneWZCeVnEzln4,spotify:track:6FWkfBaqMneWZCeVnEzln4,https://api.spotify.com/v1/tracks/6FWkfBaqMneWZCeVnEzln4,https://api.spotify.com/v1/audio-analysis/6FWkfBaqMneWZCeVnEzln4,215384,4
1246,Night Skinny,"Stay Away (feat. Ketama126, Side Baby & Franco126)",55,"['italian hip hop', 'rap siciliano', 'trap italiana']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.65,0.521,6,-10.012,1,0.0893,0.219,0.0,0.134,0.574,180.086,6oZJl2T2hdHnMYcZR6VJGb,spotify:track:6oZJl2T2hdHnMYcZR6VJGb,https://api.spotify.com/v1/tracks/6oZJl2T2hdHnMYcZR6VJGb,https://api.spotify.com/v1/audio-analysis/6oZJl2T2hdHnMYcZR6VJGb,216000,4
1247,Spiritualized,Ladies and Gentlemen We Are Floating in Space,54,"['alternative rock', 'art pop', 'art rock', 'britpop', 'noise pop', 'shoegaze', 'singer-songwriter', 'spacegrunge']",【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.376,0.41,2,-11.452,1,0.034,0.753,0.000543,0.234,0.171,100.031,0fOjUafaAhJV16oRBgCtz7,spotify:track:0fOjUafaAhJV16oRBgCtz7,https://api.spotify.com/v1/tracks/0fOjUafaAhJV16oRBgCtz7,https://api.spotify.com/v1/audio-analysis/0fOjUafaAhJV16oRBgCtz7,234053,3
1248,La Municipàl,Finirà tutto quanto,21,"['italian indie pop', 'puglia indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.495,0.794,9,-6.546,1,0.0445,0.00746,7e-05,0.0616,0.422,146.02,3wsGZj6YY4CSJ38KHDGWZ1,spotify:track:3wsGZj6YY4CSJ38KHDGWZ1,https://api.spotify.com/v1/tracks/3wsGZj6YY4CSJ38KHDGWZ1,https://api.spotify.com/v1/audio-analysis/3wsGZj6YY4CSJ38KHDGWZ1,248733,4
1249,Le Endrigo,Stare soli,22,"['indie rock italiano', 'italian indie pop', 'italian post-hardcore']",17,0.617,0.472,7,-6.458,1,0.0397,0.272,0.000471,0.1,0.439,117.419,0ocdX0PRpsnVsNuA7jJ38F,spotify:track:0ocdX0PRpsnVsNuA7jJ38F,https://api.spotify.com/v1/tracks/0ocdX0PRpsnVsNuA7jJ38F,https://api.spotify.com/v1/audio-analysis/0ocdX0PRpsnVsNuA7jJ38F,220653,3
1250,2Pac,"California Love (remix) (ft. Dr. Dre, Roger Troutman)",55,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",hip h໐p ¢นlt,0.635,0.844,5,-4.2,1,0.0741,0.00671,0.0,0.487,0.649,91.652,4DLVB91nzswc4wD7EchmXs,spotify:track:4DLVB91nzswc4wD7EchmXs,https://api.spotify.com/v1/tracks/4DLVB91nzswc4wD7EchmXs,https://api.spotify.com/v1/audio-analysis/4DLVB91nzswc4wD7EchmXs,385880,4
1251,Current Joys,In a Year of 13 Moons,45,"['indie pop', 'lo-fi indie']",𝘔𝘖𝘖𝘕 𝘠𝘖𝘜 𝘘𝘜𝘌𝘌𝘕!!,0.594,0.219,9,-15.205,0,0.0369,0.88,0.00197,0.0799,0.0488,92.16,7aYiYaxd1OAcPVQ32PXEXx,spotify:track:7aYiYaxd1OAcPVQ32PXEXx,https://api.spotify.com/v1/tracks/7aYiYaxd1OAcPVQ32PXEXx,https://api.spotify.com/v1/audio-analysis/7aYiYaxd1OAcPVQ32PXEXx,235227,4
1252,BROCKHAMPTON,SWEET,61,"['boy band', 'hip hop', 'rap']",bassbassbassbassbass,0.718,0.628,10,-6.007,0,0.223,0.543,0.0,0.116,0.722,92.107,2DgMxFMUQRPthW4ROhjen1,spotify:track:2DgMxFMUQRPthW4ROhjen1,https://api.spotify.com/v1/tracks/2DgMxFMUQRPthW4ROhjen1,https://api.spotify.com/v1/audio-analysis/2DgMxFMUQRPthW4ROhjen1,274274,4
1253,Fast Animals and Slow Kids,Annabelle,32,"['italian alternative', 'italian indie pop']",17,0.5,0.789,9,-5.066,1,0.0557,0.0167,3.49e-05,0.118,0.267,112.444,5zUqaH3nIjAPwhXpHkvr95,spotify:track:5zUqaH3nIjAPwhXpHkvr95,https://api.spotify.com/v1/tracks/5zUqaH3nIjAPwhXpHkvr95,https://api.spotify.com/v1/audio-analysis/5zUqaH3nIjAPwhXpHkvr95,214827,3
1254,Brunori Sas,Guardia '82,46,"['folk rock italiano', 'italian adult pop', 'italian alternative', 'italian indie pop']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.746,0.455,2,-6.481,1,0.0389,0.592,0.0,0.0775,0.387,109.999,6kAyAeTujv9xCciuSyrJwz,spotify:track:6kAyAeTujv9xCciuSyrJwz,https://api.spotify.com/v1/tracks/6kAyAeTujv9xCciuSyrJwz,https://api.spotify.com/v1/audio-analysis/6kAyAeTujv9xCciuSyrJwz,268799,3
1255,Lena Raine,Pigstep (Stereo Mix),58,"['indie game soundtrack', 'spectra']",u fucking nerd,0.617,0.919,4,-2.879,0,0.0556,0.249,0.0976,0.282,0.529,113.175,2TmUt0ofWMa02MdYkKhK4C,spotify:track:2TmUt0ofWMa02MdYkKhK4C,https://api.spotify.com/v1/tracks/2TmUt0ofWMa02MdYkKhK4C,https://api.spotify.com/v1/audio-analysis/2TmUt0ofWMa02MdYkKhK4C,149647,5
1256,Funk Shui Project,Reboot,28,"['italian indie pop', 'rap napoletano']",🌱,0.731,0.528,5,-8.298,0,0.409,0.837,0.0,0.238,0.726,83.046,0W7NdUeZXsjaW5y4hpePy4,spotify:track:0W7NdUeZXsjaW5y4hpePy4,https://api.spotify.com/v1/tracks/0W7NdUeZXsjaW5y4hpePy4,https://api.spotify.com/v1/audio-analysis/0W7NdUeZXsjaW5y4hpePy4,222945,4
1257,This Will Destroy You,Quiet,43,"['ambient post-rock', 'american post-rock', 'compositional ambient', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.482,0.463,1,-7.927,1,0.0573,0.282,0.848,0.36,0.0427,115.011,4llDF3RuBQYj2nkjTCJY4w,spotify:track:4llDF3RuBQYj2nkjTCJY4w,https://api.spotify.com/v1/tracks/4llDF3RuBQYj2nkjTCJY4w,https://api.spotify.com/v1/audio-analysis/4llDF3RuBQYj2nkjTCJY4w,293173,4
1258,David Bowie,Life on Mars? - 2015 Remaster,70,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",space cowboy,0.445,0.384,10,-14.642,1,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,3ZE3wv8V3w2T2f7nOCjV0N,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N,https://api.spotify.com/v1/tracks/3ZE3wv8V3w2T2f7nOCjV0N,https://api.spotify.com/v1/audio-analysis/3ZE3wv8V3w2T2f7nOCjV0N,235987,4
1259,Ramones,"Baby, I Love You",58,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock']",london calling,0.735,0.653,8,-5.533,1,0.0269,0.202,0.000307,0.0802,0.93,107.779,29imR7dda5XqwPRFmby7HS,spotify:track:29imR7dda5XqwPRFmby7HS,https://api.spotify.com/v1/tracks/29imR7dda5XqwPRFmby7HS,https://api.spotify.com/v1/audio-analysis/29imR7dda5XqwPRFmby7HS,224560,4
1260,Do Nascimiento,Fiato,13,"['italian emo', 'italian post-hardcore']",17,0.441,0.513,4,-8.742,1,0.0357,0.49,0.000138,0.444,0.402,62.065,0vrYY9AxcwATJJQ4Wasdct,spotify:track:0vrYY9AxcwATJJQ4Wasdct,https://api.spotify.com/v1/tracks/0vrYY9AxcwATJJQ4Wasdct,https://api.spotify.com/v1/audio-analysis/0vrYY9AxcwATJJQ4Wasdct,157813,4
1261,Francesco De Leo,Muse,31,"['italian indie pop', 'milan indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.547,0.648,5,-5.264,1,0.0311,0.184,0.00881,0.119,0.61,149.837,2ITMnnasIW5OnLWpj1Ud2w,spotify:track:2ITMnnasIW5OnLWpj1Ud2w,https://api.spotify.com/v1/tracks/2ITMnnasIW5OnLWpj1Ud2w,https://api.spotify.com/v1/audio-analysis/2ITMnnasIW5OnLWpj1Ud2w,275400,4
1262,The Strokes,Reptilia,74,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",🌱,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/audio-analysis/57Xjny5yNzAcsxnusKmAfA,219827,4
1263,Childish Gambino,Redbone,83,"['atl hip hop', 'hip hop', 'rap']",april '22,0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,0WtDGnWL2KrMCk0mI1Gpwz,spotify:track:0WtDGnWL2KrMCk0mI1Gpwz,https://api.spotify.com/v1/tracks/0WtDGnWL2KrMCk0mI1Gpwz,https://api.spotify.com/v1/audio-analysis/0WtDGnWL2KrMCk0mI1Gpwz,326933,4
1264,Daft Punk,Giorgio by Moroder,64,"['electro', 'filter house']",EᒪEᑕTᖇOᑎIᑕ ᖴᑌᑎᖴᗩIᖇ,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,0oks4FnzhNp5QPTZtoet7c,spotify:track:0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/tracks/0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/audio-analysis/0oks4FnzhNp5QPTZtoet7c,544627,4
1265,Cocteau Twins,Cherry-coloured Funk,67,"['alternative rock', 'art pop', 'art rock', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'shoegaze']",♥ 𝗱𝗿𝗲𝗮𝗺𝘆 ♥,0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,37pKTyMwalomKCZjxTc2QZ,spotify:track:37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/tracks/37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/audio-analysis/37pKTyMwalomKCZjxTc2QZ,192467,4
1266,Lo Stato Sociale,Fare Mattina,35,"['italian alternative', 'italian indie pop']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.635,0.82,11,-6.025,1,0.0662,0.273,1.17e-06,0.12,0.389,106.882,4i41XJ9x7STINlhUls3Edr,spotify:track:4i41XJ9x7STINlhUls3Edr,https://api.spotify.com/v1/tracks/4i41XJ9x7STINlhUls3Edr,https://api.spotify.com/v1/audio-analysis/4i41XJ9x7STINlhUls3Edr,253440,4
